mes;año;valor_mensual;periodo;origen
4;2025;2.8;abr-25;IPC
5;2025;1.5;may-25;IPC
6;2025;1.6;jun-25;IPC
7;2025;1.9;jul-25;IPC
8;2025;1.9;ago-25;IPC
9;2025;2.1;sep-25;IPC
10;2025;2.3;oct-25;IPC
11;2025;2.5;nov-25;IPC
12;2025;2.8;dic-25;IPC
1;2026;2.9;ene-26;IPC
2;2026;2.9;feb-26;IPC
3;2026;3.4;mar-26;IPC
4;2026;2.6;abr-26;REM
5;2026;2.3;may-26;REM
6;2026;2.1;jun-26;REM
7;2026;2.0;jul-26;REM
8;2026;1.8;ago-26;REM
9;2026;1.87;sep-26;REM
10;2026;1.8;oct-26;REM
11;2026;6.34;nov-26;REM
12;2026;6.34;dic-26;REM
1;2027;1.52;ene-27;REM
2;2027;1.52;feb-27;REM
3;2027;1.52;mar-27;REM
4;2027;1.52;abr-27;REM
5;2027;1.52;may-27;REM
6;2027;1.52;jun-27;REM
7;2027;1.52;jul-27;REM
8;2027;1.52;ago-27;REM
9;2027;1.52;sep-27;REM
10;2027;1.52;oct-27;REM
11;2027;1.52;nov-27;REM
12;2027;1.52;dic-27;REM
1;2028;1.05;ene-28;REM
2;2028;1.05;feb-28;REM
3;2028;1.05;mar-28;REM
4;2028;1.05;abr-28;REM
5;2028;1.05;may-28;REM
6;2028;1.05;jun-28;REM
7;2028;1.05;jul-28;REM
8;2028;1.05;ago-28;REM
9;2028;1.05;sep-28;REM
10;2028;1.05;oct-28;REM
11;2028;1.05;nov-28;REM
12;2028;1.05;dic-28;REM
