mes;año;valor_mensual;periodo
12;2025;2.3;dic-25
1;2026;2.0;ene-26
2;2026;1.8;feb-26
3;2026;1.9;mar-26
4;2026;1.7;abr-26
5;2026;1.6;may-26
6;2026;1.5;jun-26
7;2026;1.33;jul-26
8;2026;1.33;ago-26
9;2026;1.33;sep-26
10;2026;1.33;oct-26
11;2026;1.33;nov-26
12;2026;1.33;dic-26
1;2027;1.0;ene-27
2;2027;1.0;feb-27
3;2027;1.0;mar-27
4;2027;1.0;abr-27
5;2027;1.0;may-27
6;2027;1.0;jun-27
7;2027;1.0;jul-27
8;2027;1.0;ago-27
9;2027;1.0;sep-27
10;2027;1.0;oct-27
11;2027;1.0;nov-27
12;2027;1.0;dic-27
1;2028;0.76;ene-28
2;2028;0.76;feb-28
3;2028;0.76;mar-28
4;2028;0.76;abr-28
5;2028;0.76;may-28
6;2028;0.76;jun-28
7;2028;0.76;jul-28
8;2028;0.76;ago-28
9;2028;0.76;sep-28
10;2028;0.76;oct-28
11;2028;0.76;nov-28
12;2028;0.76;dic-28
